domain,assigned_year,evidence_type,evidence_value,source,acquisition_method,evidence_url
edwinlorenz.com,2001,cdx_timestamp,20010406232107,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20010406232107/http://www.edwinlorenz.com:80/
icy-entertainment.de,2001,cdx_timestamp,20010301183801,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20010301183801/http://www.icy-entertainment.de:80/
immobilien-hakom-grundbesitz.de,2001,cdx_timestamp,20010124185700,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20010124185700/http://www.immobilien-hakom-grundbesitz.de:80/
kvasupply.com,2000,cdx_timestamp,20000104174245,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20000104174245/http://www.kvasupply.com:80/
kvasupply.com,2001,cdx_timestamp,20010124072200,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20010124072200/http://www.kvasupply.com:80/
manatic.com,2000,cdx_timestamp,20000302100954,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20000302100954/http://www.manatic.com:80/
manatic.com,2001,cdx_timestamp,20010124034700,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20010124034700/http://www.manatic.com:80/
newworldentertainment.net,2001,cdx_timestamp,20010331165041,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20010331165041/http://newworldentertainment.net:80/
siimi.com,2000,cdx_timestamp,20000303215742,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20000303215742/http://www.siimi.com:80/
siimi.com,2001,cdx_timestamp,20010517192730,ia_cdx,ia_cdx_year_query,https://web.archive.org/web/20010517192730/http://www.siimi.com:80/
www.ac.gov.br,1999,cdx_timestamp,19991023041109,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19991023041109/http://www.ac.gov.br:80/
www.ac.id,1998,cdx_timestamp,19980131195828,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19980131195828/http://www.ac.id:80/
www.ac.il,1997,cdx_timestamp,19971210212944,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19971210212944/http://www.ac.il:80/
www.ad,1998,cdx_timestamp,19980202221920,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19980202221920/http://www.ad:80/
www.ag,1998,cdx_timestamp,19980502015615,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19980502015615/http://www.ag:80/
www.agric.za,1997,cdx_timestamp,19970710120611,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19970710120611/http://www.agric.za:80/
www.ai,1998,cdx_timestamp,19980206215526,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19980206215526/http://www.ai:80/
www.aip.ee,1999,cdx_timestamp,19991022055835,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19991022055835/http://www.aip.ee:80/
www.altoadige.it,1999,cdx_timestamp,19990125093150,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19990125093150/http://www.altoadige.it:80/
www.am,1999,cdx_timestamp,19990125093153,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19990125093153/http://www.am:80/
www.ann-arbor.mi.us,1997,cdx_timestamp,19971211091234,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19971211091234/http://www.ann-arbor.mi.us:80/
www.ar,1997,cdx_timestamp,19970416062347,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19970416062347/http://www.ar:80/
www.asn.au,1999,cdx_timestamp,19990208011455,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19990208011455/http://www.asn.au:80/
www.avoues.fr,1998,cdx_timestamp,19981212023014,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19981212023014/http://www.avoues.fr:80/
www.az,1998,cdx_timestamp,19981212023025,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19981212023025/http://www.az:80/
www.bialystok.pl,1997,cdx_timestamp,19970628125107,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19970628125107/http://www.bialystok.pl:80/
www.boleslawiec.pl,1998,cdx_timestamp,19981212023320,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19981212023320/http://www.boleslawiec.pl:80/
www.brent.sch.uk,1998,cdx_timestamp,19981202054648,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19981202054648/http://www.brent.sch.uk:80/
www.bydgoszcz.pl,1997,cdx_timestamp,19970406130325,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19970406130325/http://www.bydgoszcz.pl:80/
www.cc,1998,cdx_timestamp,19980208224742,early_web_cdx,bulk_cdx_file,https://web.archive.org/web/19980208224742/http://www.cc:80/
